config,bar_size,horizon,target_type,features,params_idx,n_trades,win_rate,total_net_return,sharpe,profit_factor,max_drawdown,final_equity
4h_h15_binary_ta_p0,4h,15,binary,ta,0,235,0.5787,3.384986,5.819,2.089,-0.0897,13384.99
4h_h15_binary_ta_p1,4h,15,binary,ta,1,169,0.5799,2.149831,4.129,1.787,-0.0797,12149.83
4h_h15_binary_ta_p2,4h,15,binary,ta,2,220,0.6182,3.494993,5.676,1.983,-0.0852,13494.99
4h_h15_binary_ta_p3,4h,15,binary,ta,3,202,0.5396,1.680169,3.146,1.534,-0.0823,11680.17
4h_h15_binary_ta_p4,4h,15,binary,ta,4,167,0.5509,1.5303,2.968,1.508,-0.0823,11530.3
4h_h15_binary_more_lags_p0,4h,15,binary,more_lags,0,171,0.538,1.20406,2.18,1.338,-0.0823,11204.06
4h_h15_binary_more_lags_p1,4h,15,binary,more_lags,1,257,0.5447,1.50727,2.745,1.402,-0.0822,11507.27
4h_h15_binary_more_lags_p2,4h,15,binary,more_lags,2,265,0.5434,0.85383,1.501,1.202,-0.1156,10853.83
4h_h15_binary_more_lags_p3,4h,15,binary,more_lags,3,196,0.5204,0.987256,1.801,1.267,-0.1003,10987.26
4h_h15_binary_more_lags_p4,4h,15,binary,more_lags,4,240,0.5792,2.520099,4.699,1.802,-0.093,12520.1
4h_h15_binary_ta+lags_p0,4h,15,binary,ta+lags,0,215,0.5163,1.279442,2.371,1.365,-0.0892,11279.44
4h_h15_binary_ta+lags_p1,4h,15,binary,ta+lags,1,240,0.5417,1.773254,3.245,1.502,-0.0823,11773.25
4h_h15_binary_ta+lags_p2,4h,15,binary,ta+lags,2,192,0.5677,1.897711,3.545,1.617,-0.0822,11897.71
4h_h15_binary_ta+lags_p3,4h,15,binary,ta+lags,3,202,0.5594,1.482154,2.691,1.425,-0.0823,11482.15
4h_h15_binary_ta+lags_p4,4h,15,binary,ta+lags,4,161,0.5342,1.633394,2.954,1.523,-0.0889,11633.39
